date,sym,side,entry,exit,qty,reason,entry_time,exit_time,rvol,gross,costs,net,R
2021-10-22,MAZDOCK,S,140.58,137.42,23,eod,09:30,15:10,5.69,72.7,3.4,69.3,1.39
2021-10-22,SOLARINDS,S,2518.74,2212.11,1,eod,09:45,15:10,7.08,306.63,2.54,304.09,4.98
2021-10-22,ASIANPAINT,L,2966.18,2983.51,1,eod,09:40,15:10,6.98,17.33,3.16,14.17,0.27
2021-10-25,AXISBANK,L,836.87,844.18,3,eod,09:30,15:10,5.41,21.93,2.68,19.25,0.56
2021-10-27,CIPLA,S,907.1,924.46,3,stop,09:35,13:00,4.97,-52.1,2.91,-55.01,-1.08
2021-10-29,ABB,L,1994.95,2088.46,1,eod,09:35,15:10,5.19,93.51,2.18,91.33,2.25
2021-11-08,EICHERMOT,S,2708.69,2714.61,1,eod,09:30,15:10,11.98,-5.91,2.87,-8.79,-0.13
2021-11-09,ZYDUSLIFE,S,500.1,498.9,6,eod,09:30,15:10,6.96,7.2,3.18,4.02,0.09
2021-11-12,TATASTEEL,S,129.98,128.61,25,eod,09:50,15:10,5.33,34.27,3.43,30.84,0.37
2021-11-12,ETERNAL,L,145.22,151.82,22,eod,09:40,15:10,5.7,145.23,3.48,141.75,2.55
2021-11-15,ETERNAL,S,148.18,151.48,22,stop,09:45,12:40,4.11,-72.6,3.49,-76.08,-1.07
2021-11-15,POWERGRID,L,137.39,141.34,24,eod,09:30,15:10,4.92,94.76,3.56,91.2,4.25
2021-11-15,MAXHEALTH,S,346.63,349.57,9,stop,09:30,12:20,5.9,-26.53,3.32,-29.85,-1.2
2021-11-16,ETERNAL,L,162.68,159.07,20,stop,09:30,12:00,4.73,-72.22,3.4,-75.62,-1.07
2021-11-18,HINDZINC,S,334.53,341.17,9,stop,09:30,10:45,4.4,-59.74,3.22,-62.96,-1.08
2021-11-22,BHARTIARTL,L,754.38,737.98,4,stop,09:30,12:15,8.83,-65.58,3.16,-68.74,-1.07
2021-11-26,SIEMENS,S,2140.88,2096.05,1,eod,10:30,15:10,4.04,44.83,2.25,42.58,0.98
2021-12-03,HINDZINC,S,340.68,344.67,9,stop,09:40,11:15,4.66,-35.93,3.27,-39.2,-1.14
2021-12-08,HINDZINC,S,356.82,361.38,9,eod,09:40,15:10,7.52,-41.03,3.42,-44.45,-0.95
2021-12-14,POWERGRID,L,156.08,159.0,21,eod,09:30,15:10,4.47,61.27,3.52,57.75,0.81
2021-12-17,INFY,L,1823.91,1816.74,1,eod,09:45,15:10,6.09,-7.17,1.93,-9.1,-0.54
