sym,entry_date,exit_date,net
TVSMOTOR,2022-07-11,2022-07-18,157.24334582822303
NTPC,2022-07-11,2022-07-18,214.4840868608626
M&M,2022-07-11,2022-07-18,166.79005851609782
BEL,2022-07-11,2022-07-18,256.8456602521346
ADANIENT,2022-07-11,2022-07-18,226.07170876598957
SUNPHARMA,2022-07-11,2022-07-18,124.65677785793469
ITC,2022-07-11,2022-07-25,64.82963008105344
COALINDIA,2022-07-11,2022-07-25,185.17320046784062
BANKBARODA,2022-07-18,2022-07-25,470.53231287338986
ABB,2022-07-18,2022-07-25,106.90719401228398
ICICIBANK,2022-07-18,2022-07-25,226.79969927332513
SIEMENS,2022-07-18,2022-07-25,26.96332739869422
CUMMINSIND,2022-07-18,2022-07-25,215.08677435628215
AMBUJACEM,2022-07-11,2022-08-01,92.35654755148698
SBILIFE,2022-07-18,2022-08-01,501.4897348600334
BRITANNIA,2022-07-18,2022-08-01,8.088534613130832
NTPC,2022-07-25,2022-08-01,91.256015280268
SUNPHARMA,2022-07-25,2022-08-01,380.87384841185394
CIPLA,2022-07-25,2022-08-01,33.32123895582117
TVSMOTOR,2022-07-25,2022-08-01,85.3934215311765
GODREJCP,2022-07-25,2022-08-08,-78.81718272249964
M&M,2022-07-25,2022-08-08,203.56642097424083
BAJAJ-AUTO,2022-08-01,2022-08-08,60.37823688163007
CANBK,2022-08-01,2022-08-08,-91.83230240620105
EICHERMOT,2022-08-01,2022-08-08,-48.92136968329669
AXISBANK,2022-08-01,2022-08-08,-9.446248677671974
HINDUNILVR,2022-08-01,2022-08-08,-22.43638154842847
BANKBARODA,2022-08-01,2022-08-08,-20.293641490931805
SIEMENS,2022-08-01,2022-08-16,116.89276767987985
CUMMINSIND,2022-08-08,2022-08-16,267.62196331670384
SBILIFE,2022-08-08,2022-08-16,73.7415043275314
COALINDIA,2022-08-08,2022-08-16,333.6960138341865
ABB,2022-08-08,2022-08-16,97.43590001835037
LT,2022-08-08,2022-08-16,95.84015939514757
DMART,2022-08-08,2022-08-16,83.53780796777846
BRITANNIA,2022-08-08,2022-08-22,-57.00137933747328
TATACONSUM,2022-08-08,2022-08-22,-9.383509788032825
ADANIPORTS,2022-08-16,2022-08-22,466.3720800801684
HINDUNILVR,2022-08-16,2022-08-22,41.982311527303864
ASIANPAINT,2022-08-16,2022-08-22,-38.46635094078556
ITC,2022-08-16,2022-08-22,6.879289299980883
SBIN,2022-08-16,2022-08-22,-181.15810432831768
CIPLA,2022-08-16,2022-08-29,-173.08995120967938
BANKBARODA,2022-08-22,2022-08-29,143.14703586368887
INDIGO,2022-08-22,2022-08-29,-93.63179868700809
M&M,2022-08-22,2022-08-29,1.4578770374782835
JSWSTEEL,2022-08-22,2022-08-29,-93.34339881887445
TITAN,2022-08-22,2022-08-29,-2.1065118072019686
COALINDIA,2022-08-22,2022-08-29,106.01507270277034
CUMMINSIND,2022-08-22,2022-08-29,-254.1686332252675
TMPV,2022-08-22,2022-08-29,-229.79940537550465
ADANIPOWER,2022-08-29,2022-09-05,633.0386854017688
ASIANPAINT,2022-08-29,2022-09-05,148.0468457667398
ADANIPORTS,2022-08-29,2022-09-05,202.03232878383733
AMBUJACEM,2022-08-29,2022-09-05,223.69403311670158
BAJFINANCE,2022-08-29,2022-09-05,207.9215075223574
HINDUNILVR,2022-08-29,2022-09-05,56.34342196124453
HDFCBANK,2022-08-29,2022-09-05,134.3326758783378
PIDILITIND,2022-08-29,2022-09-05,510.9931152242998
SUNPHARMA,2022-08-08,2022-09-12,-179.0566792705431
EICHERMOT,2022-08-29,2022-09-12,164.78500001607017
RELIANCE,2022-09-05,2022-09-12,36.18898585418265
PFC,2022-09-05,2022-09-12,-15.490292490574575
POWERGRID,2022-09-05,2022-09-12,-75.25907701448432
SBILIFE,2022-09-05,2022-09-12,-12.44886053745904
CIPLA,2022-09-05,2022-09-12,191.22701891675388
BHARTIARTL,2022-09-05,2022-09-12,185.8888302006244
CUMMINSIND,2022-09-05,2022-09-12,18.067149505094676
INDIGO,2022-09-12,2022-09-19,-217.41927764892262
DMART,2022-09-12,2022-09-19,-134.47483390260004
TATACONSUM,2022-09-12,2022-09-19,-163.65645994554689
