sym,entry_date,exit_date,entry,exit,qty,net,days
BEL,2022-08-02,2022-09-27,94.39429999999999,101.14875,105,670.524726559428,56
ITC,2022-08-02,2022-09-29,310.30999999999995,328.671,32,548.94439277741,58
ADANIENT,2022-08-02,2022-10-04,2662.66,3226.77,3,1656.8934615264607,63
HINDUNILVR,2022-09-30,2022-10-27,2709.707,2491.506,4,-911.9183527685509,27
ZYDUSLIFE,2022-10-04,2022-11-17,414.41399999999993,416.3832,25,10.223606015821133,44
M&M,2022-08-02,2022-11-18,1238.9377,1248.7999499999999,8,40.85840728712719,108
CIPLA,2022-09-28,2022-11-21,1102.1009999999999,1103.8450500000001,10,-23.001238016069692,54
TVSMOTOR,2022-08-02,2022-11-22,931.9309999999999,1046.952,10,1112.3764033444204,112
BANKBARODA,2022-10-27,2022-12-23,148.49835,173.826,74,1831.9517037941696,57
UNIONBANK,2022-11-18,2022-12-23,71.071,74.925,140,500.95762984655994,35
IRFC,2022-11-17,2022-12-26,27.27725,28.22175,391,329.2834721388681,39
PNB,2022-11-21,2022-12-26,45.84579999999999,49.6503,239,868.0515535992581,35
CANBK,2022-11-22,2022-12-26,63.01295,58.241699999999994,166,-830.3839611328494,34
SOLARINDS,2023-01-02,2023-01-24,4452.447999999999,4080.6153,2,-778.6154985022104,22
JSWSTEEL,2022-12-28,2023-01-25,761.761,722.277,14,-591.8348807482289,28
CANBK,2023-01-02,2023-01-27,67.21715,61.48845,166,-990.7070098198892,25
RECLTD,2023-01-02,2023-01-30,117.91779999999999,115.18469999999999,95,-300.20178141067663,28
HDFCBANK,2023-01-24,2023-02-27,838.3374999999999,792.15705,13,-639.874899117387,34
JINDALSTEL,2022-12-28,2023-03-23,573.3727999999999,553.9455,19,-408.8777866019773,85
ONGC,2023-01-27,2023-03-29,152.60244999999998,147.10275,70,-424.25068816526436,61
MAXHEALTH,2023-01-30,2023-04-05,452.95249999999993,427.572,23,-622.2299008773462,65
GAIL,2023-02-27,2023-05-22,103.95384999999999,104.895,99,54.27508909193057,84
VBL,2023-04-05,2023-06-26,284.284,307.24245,36,786.9726832616052,82
ITC,2023-01-30,2023-07-26,347.2468999999999,464.4351,29,3356.625782213174,177
ULTRACEMCO,2023-03-31,2023-08-16,7582.6750999999995,7996.94505,1,381.05854126544637,138
ZYDUSLIFE,2023-03-24,2023-09-04,483.98349999999994,615.33405,21,2716.9850319961115,164
IRFC,2023-08-16,2023-10-10,50.95089999999999,71.928,236,4902.811984736591,55
CGPOWER,2023-05-22,2023-10-11,341.29094999999995,415.48409999999996,32,2331.518523985238,142
BEL,2023-09-04,2023-10-23,139.6395,134.3655,92,-529.1866867719582,49
TRENT,2023-06-26,2023-10-25,1152.40125,1334.51415,9,1598.3373007369773,121
SOLARINDS,2023-10-10,2023-12-01,5191.286099999999,6233.76,2,2043.7825545299638,52
LODHA,2023-10-11,2024-02-13,812.0111999999999,1018.98,17,3468.21451975741,125
RECLTD,2023-12-01,2024-02-28,352.90254999999996,445.60395,44,4024.195382525366,89
BAJAJ-AUTO,2023-10-23,2024-03-01,5465.459999999999,7947.045,2,4917.803589187743,130
VBL,2024-02-13,2024-03-06,556.5559999999999,547.8516,34,-353.62817517040094,22
DLF,2024-02-28,2024-03-13,915.1142,859.14,21,-1232.8799047156353,14
BEL,2024-03-01,2024-03-14,206.15594999999996,188.811,86,-1545.4527637098363,13
CANBK,2024-03-06,2024-03-14,120.92079999999999,106.69319999999999,153,-2231.614442708891,8
TVSMOTOR,2023-10-31,2024-03-18,1627.8762499999998,2058.939,8,3400.055557946029,139
SOLARINDS,2024-03-15,2024-05-16,8278.269999999999,8437.3542,2,265.1125901954656,62
ETERNAL,2023-07-26,2024-06-04,83.18309999999998,176.3235,145,13448.627182091723,314
CUMMINSIND,2024-05-16,2024-06-05,3695.1914999999995,3255.741,4,-1804.7600628229775,20
INDIGO,2024-03-13,2024-07-09,3245.2419999999997,4235.76,5,4895.466024607746,118
HAL,2024-07-09,2024-07-19,5644.538899999999,5004.99,3,-1970.2226987067897,10
TRENT,2024-03-15,2024-07-22,2703.4006999999997,3403.24335,6,4142.72565934587,129
IRFC,2024-06-04,2024-08-06,189.189,181.818,108,-856.5831485548551,63
ICICIBANK,2024-07-22,2024-08-07,1241.2399999999998,1177.77105,16,-1074.5184503087512,16
