sym,entry_date,exit_date,net,days
ADANIPOWER,2022-10-03,2022-11-01,-537.4110287093599,29
ABB,2022-10-03,2023-01-02,-417.8702302850829,91
ADANIGREEN,2022-10-03,2023-02-01,-2000.939554739597,121
ADANIENT,2022-10-03,2023-03-01,-2042.3528082956157,149
TVSMOTOR,2022-10-03,2023-03-01,146.81833888561505,149
VBL,2022-10-03,2023-03-01,1189.4723321055726,149
HAL,2022-10-03,2023-03-01,413.56636540536874,149
M&M,2022-10-03,2023-03-01,-14.054113645631787,149
BANKBARODA,2022-10-03,2023-03-01,923.5045828968123,149
INDHOTEL,2022-10-03,2023-03-01,-341.64498612449097,149
MAZDOCK,2022-11-01,2023-03-01,600.0864176580753,120
ADANIPOWER,2023-01-02,2023-03-01,-2642.8805569542587,58
SOLARINDS,2023-02-01,2023-03-01,-147.88384696752382,28
M&M,2023-04-03,2023-06-01,441.4960286101209,59
BRITANNIA,2023-04-03,2023-06-01,276.09407289228784,59
TVSMOTOR,2023-04-03,2023-10-03,1801.5321244321049,183
ABB,2023-04-03,2023-10-03,684.2567303053052,183
ITC,2023-04-03,2023-10-03,591.9576651637035,183
HAL,2023-04-03,2023-12-01,3259.273522579665,242
UNIONBANK,2023-04-03,2023-12-01,2743.2990765696504,242
BANKBARODA,2023-06-01,2023-12-01,345.01622284269433,183
PNB,2023-06-01,2024-01-01,4388.149741982312,214
CGPOWER,2023-04-03,2024-02-01,2271.4564339380595,304
VBL,2023-04-03,2024-03-01,4630.905385440597,333
CHOLAFIN,2023-12-01,2024-03-01,-263.9280958090967,91
ADANIGREEN,2024-03-01,2024-05-02,-575.4539072393272,62
LODHA,2023-12-01,2024-09-02,2175.3537939129155,276
ADANIPOWER,2024-03-01,2024-10-01,1663.3712114451719,214
PNB,2024-05-02,2024-10-01,-2197.9076088919073,152
PFC,2023-10-03,2024-12-02,6503.100546138785,426
RECLTD,2023-10-03,2024-12-02,5824.119083999551,426
SOLARINDS,2024-10-01,2024-12-02,-909.6847571553753,62
MAZDOCK,2023-04-03,2025-01-01,24583.114759104854,639
IRFC,2023-10-03,2025-01-01,2879.159178450564,456
ETERNAL,2023-12-01,2025-01-01,10056.094904763246,397
TRENT,2024-01-01,2025-01-01,10756.97368354145,366
HAL,2024-02-01,2025-01-01,2270.550559770576,335
BEL,2024-10-01,2025-01-01,291.40888014536904,92
MOTHERSON,2024-12-02,2025-01-01,-561.8056222231917,30
VEDL,2024-12-02,2025-01-01,-322.38712904414206,30
SIEMENS,2024-12-02,2025-01-01,-1070.8301406316496,30
UNITDSPR,2025-06-02,2025-08-01,-1537.0827909024501,60
HDFCLIFE,2025-06-02,2025-08-01,-374.64547919742654,60
KOTAKBANK,2025-06-02,2025-09-01,-707.4951709537509,91
INDHOTEL,2025-06-02,2025-10-01,-919.9503419129142,121
DIVISLAB,2025-06-02,2025-11-03,79.38825313391044,154
BHARTIARTL,2025-06-02,2025-11-03,1200.7745812181183,154
MAXHEALTH,2025-06-02,2025-12-01,310.3339269317694,182
HDFCAMC,2025-09-01,2025-12-01,-268.0460862826458,91
MAZDOCK,2025-06-02,2026-01-01,-2963.6642283539913,213
ADANIENSOL,2025-12-01,2026-01-01,292.7167789053601,31
MUTHOOTFIN,2025-08-01,2026-02-01,4281.892483512882,184
BAJFINANCE,2025-08-01,2026-02-01,574.4531222911446,184
BEL,2025-10-01,2026-02-01,1519.9094681393417,123
EICHERMOT,2025-10-01,2026-02-01,76.76247525268536,123
TVSMOTOR,2025-11-03,2026-02-01,442.8555859055741,90
HYUNDAI,2025-11-03,2026-02-01,-1353.323402376196,90
ADANIPOWER,2025-12-01,2026-02-01,-1087.073980004483,62
CANBK,2026-01-01,2026-02-01,-807.7339636555589,31
SHRIRAMFIN,2026-01-01,2026-02-01,218.61007645174504,31
SHRIRAMFIN,2026-03-02,2026-04-01,-1606.4949374522203,30
BEL,2026-03-02,2026-04-01,-825.4564436370874,30
CANBK,2026-03-02,2026-04-01,-1936.952296404561,30
MUTHOOTFIN,2026-03-02,2026-04-01,-285.66580963785964,30
VEDL,2026-03-02,2026-04-01,-624.3131209344756,30
UNIONBANK,2026-03-02,2026-04-01,-1604.0676212424332,30
TVSMOTOR,2026-03-02,2026-04-01,-1097.6060535931138,30
HINDALCO,2026-03-02,2026-04-01,41.175094740194254,30
HINDZINC,2026-03-02,2026-04-01,-1783.6074098287154,30
CUMMINSIND,2026-05-04,2026-06-01,1295.544595897134,28
VEDL,2026-05-04,2026-06-01,3208.468418835326,28
MUTHOOTFIN,2026-05-04,2026-06-01,-341.331956675067,28
UNIONBANK,2026-05-04,2026-06-01,4.272529059597218,28
HINDALCO,2026-05-04,2026-06-01,887.3691921799382,28
TATASTEEL,2026-05-04,2026-06-01,-201.81551334351752,28
ADANIPOWER,2026-05-04,2026-06-01,1076.7764501065449,28
BEL,2026-05-04,2026-06-01,-599.2753599263378,28
CANBK,2026-05-04,2026-06-01,-398.937025715486,28
SHRIRAMFIN,2026-05-04,2026-06-01,32.74110765983278,28
HINDZINC,2026-07-01,2026-08-03,188.22687960822986,33
ENRIN,2026-07-01,2026-08-03,-1415.588494970787,33
